,and,,just,then,is,it,one,have,no,three,to,you,#total,do,we,0000,that,here,two,a,on,i,of,up,this,so,can,the
4452 Game1-1,39,0,28,46,29,109,37,31,37,9,50,96,3215,52,65,0,79,34,22,21,27,112,28,20,0,56,40,47
4452 Game1-2,58,0,23,37,14,55,30,38,23,13,50,127,2689,32,49,0,57,14,22,21,13,141,26,37,0,55,55,24
4452 Game1-3,43,0,33,32,11,42,28,17,23,18,27,82,1988,19,29,0,62,8,28,7,12,75,32,13,0,58,31,29
4452 Game1-4,19,0,8,15,12,20,25,14,17,7,17,47,1135,10,21,0,23,12,14,7,6,58,12,13,0,27,32,12
4501 Game1-1,34,0,9,15,11,25,31,15,5,8,21,47,1263,10,28,0,51,13,29,8,2,55,19,9,0,36,13,22
4501 Game1-2,51,0,10,27,7,18,18,20,18,14,39,68,1529,7,35,0,42,20,15,9,5,58,30,6,0,36,19,43
4501 Game1-3,5,0,2,4,0,7,5,5,2,2,4,16,370,1,9,0,10,5,3,2,4,19,6,4,0,12,12,10
4501 Game1-4,12,0,9,8,3,9,17,7,9,6,22,32,859,9,21,0,16,15,11,4,4,34,6,5,0,16,17,10
4552 Game1-1,17,0,4,5,12,21,13,16,6,5,18,35,968,15,19,0,23,3,14,3,4,58,16,9,0,23,24,12
4552 Game1-2,36,0,15,30,14,58,36,28,10,14,43,57,2068,19,16,0,52,6,28,20,18,120,31,6,0,58,32,45
4552 Game1-3,36,0,21,23,7,25,16,16,12,9,35,71,1485,17,23,0,31,14,10,9,5,80,16,14,0,29,40,24
4601 Game1-1,26,0,7,19,6,15,19,12,3,7,12,23,747,16,13,0,32,4,12,2,6,42,7,3,0,24,18,11
4601 Game1-2,45,0,3,19,6,19,10,14,9,14,33,42,1444,17,20,0,57,11,17,11,10,60,26,16,0,30,19,44
4601 Game1-3,36,0,26,34,7,24,41,23,20,5,35,101,1870,18,30,0,31,18,20,14,1,110,20,14,0,95,68,26
4652 Game1-1,33,0,5,13,9,18,29,9,1,12,27,24,1114,16,33,0,34,4,17,11,5,48,28,4,0,33,9,23
4652 Game1-2,52,0,13,28,8,27,40,21,5,10,41,88,1976,19,37,0,38,18,20,17,11,86,32,26,0,30,44,53
4652 Game1-3,19,0,2,9,3,7,15,9,5,8,18,10,695,4,15,0,17,4,8,11,2,26,10,7,0,11,8,23
