,ppron,adverb,preps,verb,quant,negate,auxverb,conj,#total
5301 Game1-3,11.76470588,7.400379507,8.728652751,30.92979127,1.328273245,3.415559772,25.04743833,6.831119545,1
5301 Game1-4,10.33776868,6.755373593,7.369498465,28.96622313,1.023541453,3.582395087,20.7778915,6.448311157,1
5352 Game1-1,6.265060241,6.506024096,5.542168675,21.68674699,0.481927711,1.686746988,18.07228916,11.08433735,1
5352 Game1-2,7.673860911,9.712230216,10.07194245,26.49880096,0.71942446,1.678657074,21.46282974,13.9088729,1
5352 Game1-3,11.32075472,6.721698113,9.787735849,30.77830189,1.061320755,3.419811321,23.23113208,9.316037736,1
5401 Game1-1,10.1754386,9.473684211,9.824561404,26.80701754,1.684210526,2.315789474,19.36842105,12.84210526,1
5401 Game1-2,10.49445005,8.678102926,9.889001009,31.98789102,1.210898083,2.926337033,23.91523713,8.980827447,1
5401 Game1-3,10.01317523,8.168642951,7.90513834,26.08695652,1.185770751,3.425559947,19.36758893,5.797101449,1
5452 Game1-1,13.07287754,9.241172051,7.287753569,30.72877536,2.404207363,3.906836965,22.83996995,10.14274981,1
5452 Game1-2,11.28364389,9.109730849,6.832298137,28.88198758,1.552795031,5.590062112,23.29192547,8.799171843,1
5452 Game1-3,12.23337516,6.838143036,8.092848181,27.97992472,2.070263488,1.944792974,20.38895859,7.340025094,1
5452 Game1-4,13.35820896,9.925373134,8.432835821,32.91044776,1.417910448,2.76119403,25,11.34328358,1
5501 Game1-1,12.16,8.72,9.52,28.48,2,2.4,21.76,12.64,1
5501 Game1-2,12.25323349,10.61946903,9.530292716,30.70115725,2.24642614,5.309734513,24.71068754,7.828454731,1
5501 Game1-3,12.00440529,6.828193833,8.039647577,30.50660793,1.431718062,3.854625551,24.00881057,9.030837004,1
5552 Game1-1,12.08206687,6.306990881,7.370820669,29.40729483,2.051671733,3.875379939,22.41641337,7.522796353,1
5552 Game1-2,12.78399457,9.460834181,7.121057986,33.09596473,1.865038996,5.798575788,25.56798915,8.986096982,1
5552 Game1-3,15.18889746,7.247494217,6.784888204,37.47108712,1.773323053,6.553585197,29.76098689,7.01619121,1
5552 Game1-4,13.60057266,6.943450251,6.800286328,32.71295634,1.646385111,3.364352183,26.12741589,6.800286328,1
